City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Bandarbeyla,SO,79.52,scattered clouds,9.4942,50.8122,JABIR HOTEL
9,Hithadhoo,MV,82.38,scattered clouds,-0.6,73.0833,Scoop Guest House
10,College,US,75.18,mist,64.8569,-147.8028,Pike's Waterfront Lodge
16,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
21,Atuona,PF,77.61,few clouds,-9.8,-139.0333,Villa Enata
30,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
37,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,hotel la terminal
38,Dwarka,IN,82.27,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
41,Rodrigues Alves,BR,75.67,broken clouds,-7.738,-72.6509,Pousada Aconchego
50,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Rawalpindi,PK,87.46,overcast clouds,33.6007,73.0679,Hotel Akbar International
55,Hilo,US,83.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
59,Akola,IN,76.71,overcast clouds,20.7333,77.0,Hotel City Pride
60,Matamoros,MX,86.23,clear sky,25.5333,-103.25,Quinta Belem
62,Samana,DO,77.49,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
69,Shingu,JP,86.47,scattered clouds,33.7333,135.9833,Shingu UI Hotel
70,Bubaque,GW,79.34,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
74,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
77,Fairbanks,US,75.2,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
78,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
83,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
84,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
90,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
91,Shaoguan,CN,89.73,few clouds,24.8,113.5833,Shangcheng Hotel
96,Marawi,PH,83.91,broken clouds,7.9986,124.2928,Derogongan Residence
101,Tabou,CI,75.27,light rain,4.423,-7.3528,hotêl doufoulougou
104,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
106,Khash,IR,80.74,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
108,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
109,Broome,US,76.86,clear sky,42.2506,-75.833,Chenango Valley State Park
113,Kavaratti,IN,81.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
117,Sabha,LY,80.82,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
118,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
120,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
121,Owase,JP,83.75,scattered clouds,34.0667,136.2,Business Hotel Phoenix
124,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
128,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
129,Petropavlovsk-Kamchatskiy,RU,77.59,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
131,Sibolga,ID,83.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
